epoch,accuracy,loss,val_accuracy,val_loss
0,0.8353216648101807,0.5234935283660889,0.9214559197425842,0.18528135120868683
1,0.9311887621879578,0.18332284688949585,0.959770143032074,0.1076020747423172
2,0.9437580108642578,0.15150725841522217,0.946360170841217,0.10961293429136276
3,0.9471666216850281,0.1444617360830307,0.9636015295982361,0.1000455990433693
4,0.9518534541130066,0.12525035440921783,0.9482758641242981,0.1149481013417244
5,0.9546229243278503,0.1170147955417633,0.9559386968612671,0.09185004979372025
6,0.9597358107566833,0.10973550379276276,0.9521072506904602,0.09961293637752533
7,0.9644226431846619,0.09567169845104218,0.959770143032074,0.09044152498245239
8,0.9727311730384827,0.07960337400436401,0.9731800556182861,0.07913074642419815
9,0.9697486162185669,0.0790892168879509,0.9655172228813171,0.07593415677547455
10,0.9688964486122131,0.07580286264419556,0.9655172228813171,0.0820094645023346
11,0.9752876162528992,0.06501513719558716,0.967432975769043,0.08506468683481216
12,0.9757136702537537,0.06261061131954193,0.967432975769043,0.07477127015590668
13,0.9772049188613892,0.06349088996648788,0.9655172228813171,0.09215611219406128
14,0.9782701134681702,0.04997412860393524,0.9655172228813171,0.10064607858657837
15,0.9812526702880859,0.047016773372888565,0.969348669052124,0.10004908591508865
16,0.9816787242889404,0.053186263889074326,0.967432975769043,0.10805164277553558
17,0.9829569458961487,0.04684080928564072,0.969348669052124,0.10176829993724823
18,0.9840221405029297,0.04061633720993996,0.967432975769043,0.10509032756090164
19,0.9857264757156372,0.04074868932366371,0.9712643623352051,0.09190505743026733
20,0.9867916703224182,0.03346451371908188,0.9655172228813171,0.1073952242732048
21,0.9876437783241272,0.03294222056865692,0.9655172228813171,0.11012881994247437
22,0.9861525297164917,0.03793825954198837,0.9712643623352051,0.10947559028863907
